citation_name,publisher,publication_date,publication_type,publisher_hq,citation_comment
" 68 ^ Kennedy, Lindsey; Paul, Nathan. ""China created a new terrorist threat by repressing this ethnic minority"". Quartz. Archived from the original on 12 June 2018. Retrieved 10 June 2018.",Quartz,2018,Media,USA,No known association
" 75 ^ Wines, Michael. ""Wang Lequan Is China's Strongman in Controlling Uighurs"". Archived from the original on 15 August 2018. Retrieved 2 December 2018.",The New York Times,2018,Media,USA,No known association
"46 ^ Hong Fincher, Leta (2018). Betraying Big Brother. Verso. ISBN 9781786633644.",Verso Books,2018,Media,USA,No known association
"50 ^ Kang, Dake; Wang, Yanan (1 December 2018). ""China's Uighurs told to share beds, meals with party members"". Associated Press. Archived from the original on 18 December 2019. Retrieved 18 December 2019. “In recent years, the government has even encouraged Uighurs and Han Chinese to tie the knot. Starting in 2014, Han-Uighur spouses in one county were eligible to receive 10,000 yuan ($1,442) annually for up to five years following the registration of their marriage license. Such marriages are highly publicized. The party committee in Luopu county celebrated the marriage of a Uighur woman and a ""young lad"" from Henan in an official social media account in October 2017. The man, Wang Linkai, had been recruited through a program that brought university graduates to work in the southern Xinjiang city of Hotan. ""They will let ethnic unity forever bloom in their hearts,"" the party committee's post said. ""Let ethnic unity become one's own flesh and blood.""”",Associated Press,2018,Media,USA,No known association
"a b Byler, Darren (9 November 2018). ""Why Chinese civil servants are happy to occupy Uyghur homes in Xinjiang"". CNN.",CNN,2018,Media,USA,No known association
" 237 ^ Ethan Gutmann, ""The Xinjiang Procedure"" Archived 2018-12-16 at the Wayback Machine, The Weekly Standard, 5 December 2011.",The Weekly Standard,2018,Media,USA,No known association
" 267 ^ Rollett, Charles (13 June 2018). ""In China's Far West, Companies Cash in on Surveillance Program That Targets Muslims"". Foreign Policy.",Foreign Policy,2018,Media,USA,No known association
"a b Ford, Peter (24 August 2018). ""As China Detains Muslim Uyghurs, Its Economic Clout Mutes World Criticism"". The Christian Science Monitor. Archived from the original on 12 September 2020. Retrieved 27 September 2020.",The Christian Science Monitor,2018,Media,USA,No known association
" 392 ^ ""Families Of The Disappeared: A Search For Loved Ones Held In China's Xinjiang Region"". NPR. 12 November 2018.",NPR,2018,Media,USA,No known association
" 82 ^ Groot, Gerry (2019), ""Internment and Indoctrination—Xi's 'new Era' in Xinjiang"", in Golley, Jane; Jaivin, Linda; Farrelly, Paul J.; Strange, Sharon (eds.), Power, ANU Press, pp. 98–112, ISBN 978-1-76046-280-2, JSTOR j.ctvfrxqkv.14",ANU Press,2019,Book,Australia,No known association
" 47 ^ Millward, James (7 February 2019). ""'Reeducating' Xinjiang's Muslims"". The New York Review of Books. Archived from the original on 29 January 2019. Retrieved 30 January 2019.",New York Review of Books,2019,Book Review,USA,No known association
" 3 ^ Welch, Dylan; Hui, Echo; Hutcheon, Stephen (24 November 2019). ""The China Cables: Leak reveals the scale of Beijing's repressive control over Xinjiang"". ABC News (Australia).",ABC,2019,Media,Australia,No known association
"68 ^ Molloy, Shannon (15 July 2019). ""Barbaric torture, brainwashing and forced organ removals: Inside China's brutal death camps"". News.com.au. Retrieved 22 March 2021.",news.com.au,2019,Media,Australia,No known association
"89 ^ Handley, Erin (23 September 2019). ""'Deeply disturbing' footage surfaces of blindfolded Uyghurs at train station in Xinjiang"". ABC News.",ABC,2019,Media,Australia,No known association
" 211 ^ ""Uyghur advocates speak out after horrifying accounts of rape and torture in Xinjiang camps in China"". ABC News.",ABC,2019,Media,Australia,No known association
"a b c Fernando, Gavin (23 December 2019). ""'This is mass rape': China slammed over program that 'appoints' men to sleep with Uighur women"". News.com.au.",news.com.au,2019,Media,Australia,No known association
" 283 ^ Leibold, James (24 July 2019). ""Despite China's denials, its treatment of the Uyghurs should be called what it is: cultural genocide"". The Conversation. Retrieved 17 March 2021.",The Conversation,2019,Media,Australia,No known association
" 379 ^ ""Turkey criticises China's Uyghur detention camps as 'a great cause of shame for humanity'"". ABC News. 11 February 2019. Archived from the original on 19 November 2019. Retrieved 4 December 2019.",ABC,2019,Media,Australia,No known association
" 423 ^ Erin Handley (24 September 2019). ""'Deeply disturbing' footage surfaces of blindfolded Uyghurs at train station in Xinjiang"". ABC News (Australian Broadcasting Corporation). Retrieved 18 December 2019.",ABC,2019,Media,Australia,No known association
"26 ^ Vanderklippe, Nathan (4 November 2019). ""'Like a movie': In Xinjiang, new evidence that China stages prayers, street scenes for visiting delegations"". The Globe and Mail.",The Globe and Mail,2019,Media,Canada,No known association
" 240 ^ Batha, Emma (24 September 2019). ""U.N. urged to investigate organ harvesting"". Reuters. Archived from the original on 29 December 2019. Retrieved 1 February 2020.",Reuters,2019,Media,Canada,No known association
"05 ^ Borak, Marsha. ""ByteDance says TikTok and Douyin are different, but they face similar criticisms"". South China Morning Post.",South China Morning Post,2019,Media,China (Hong Kong),No known association
"07 ^ Borak, Masha (5 December 2019). ""New swarm of pro-China Twitter bots spreads disinformation about Xinjiang"". South China Morning Post.",South China Morning Post,2019,Media,China (Hong Kong),No known association
" 360 ^ ""UN counterterrorism chief visits internment camps in Xinjiang"". South China Morning Post. 14 June 2019. Archived from the original on 22 October 2020. Retrieved 12 August 2020.",South China Morning Post,2019,Media,China (Hong Kong),No known association
" 364 ^ ""China protests as US House passes Uygur bill demanding sanctions over Xinjiang"". South China Morning Post. 4 December 2019. Archived from the original on 8 December 2019. Retrieved 8 December 2019.",South China Morning Post,2019,Media,China (Hong Kong),No known association
" 337 ^ ""Jailed Uighur intellectual Ilham Tohti receives top EU rights prize"". France 24. 18 December 2019.",France 24,2019,Media,France,No known association
" 383 ^ ""Silence on Muslim Repression"". France 24. Archived from the original on 4 December 2019.",France 24,2019,Media,France,No known association
" 362 ^ ""Anger boils over Xinjiang visit by UN counterterrorism chief"". Deutsche Welle. 14 June 2019. Archived from the original on 9 December 2019. Retrieved 9 December 2019.",DW,2019,Media,Germany,No known association
"88 ^ Stavrou, David (17 October 2019). ""A Million People Are Jailed at China's Gulags. I Managed to Escape. Here's What Really Goes on Inside"". Haaretz.",Haaretz,2019,Media,Israel,No known association
"a b Xiao, Eva; Yiu, Pak (11 October 2019). ""China disturbs even the Uighur dead in 'development' of Xinjiang"". The Japan Times. Archived from the original on 12 January 2020. Retrieved 25 April 2020. “Some of the graves were cleared with little care — in Shayar County, journalists saw unearthed human bones left discarded at three sites.”",The Japan Times,2019,Media,Japan,No known association
" 386 ^ ""Muslim Countries' Support For China's Detention of Uyghurs is not Surprising"". Al Bawaba. Archived from the original on 11 December 2019. Retrieved 11 December 2019.",Al Bawaba,2019,Media,Jordan,No known association
" 287 ^ Ibrahim, Azeem (3 December 2019). ""China Must Answer for Cultural Genocide in Court"". Foreign Policy. Archived from the original on 20 January 2020.",Foreign Policy,2019,Media,Journal,No known association
"a b Waters, Nick (5 April 2019). ""Are Historic Mosques In Xinjiang Being Destroyed?"". Bellingcat.",Bellingcat,2019,Media,Netherlands,No known association
"84 ^ ""Academics condemn China over Xinjiang camps, urge sanctions"". Al Jazeera. 27 November 2018. Retrieved 20 July 2019.",Al Jazeera,2019,Media,Qatar,No known association
" 385 ^ Alsaafin, Linah. ""Uighurs arrested in Egypt face unknown fate"". Al Jazeera. Archived from the original on 4 December 2019. Retrieved 4 December 2019.",Al Jazeera,2019,Media,Qatar,No known association
" 394 ^ Sauer, Pjotr (9 October 2019). ""'If They Send Us Back to China We Will Die': Uighur Brothers Fight Deportation From Russia"". The Moscow Times. Archived from the original on 21 December 2019. Retrieved 8 December 2019.",The Moscow Times,2019,Media,Russia,No known association
" 384 ^ hermesauto (18 August 2019). ""'Nightmare' as Egypt helps China to detain Uighurs"". The Straits Times. Archived from the original on 4 December 2019. Retrieved 4 December 2019.",The Straits Times,2019,Media,Singapore,No known association
" 23 ^ ""'Cultural genocide': China separating thousands of Muslim children from parents for 'thought education'"". The Independent. 5 July 2019. Archived from the original on 22 April 2020. Retrieved 27 April 2020.",The Independent,2019,Media,UK,No known association
"a b Kuo, Lily (6 May 2019). ""Revealed: new evidence of China's mission to raze the mosques of Xinjiang"". The Guardian. ISSN 0261-3077. Archived from the original on 7 May 2019. Retrieved 4 December 2019.",The Guardian,2019,Media,UK,No known association
"69 ^ Millward, David (9 March 2019). ""Legal experts accuse China of committing genocide against Uighurs"". The Telegraph. Retrieved 22 March 2021.",The Telegraph,2019,Media,UK,No known association
" 210 ^ ""Prisoners in China's Xinjiang concentration camps subjected to gang rape and medical experiments, former detainee says"". The Independent.",The Independent,2019,Media,UK,No known association
"a b Ferris-Rotman, Amie; Toleukhan, Aigerim; Rauhala, Emily; Fifield, Anna (6 October 2019). ""China accused of genocide over forced abortions of Uighur Muslim women as escapees reveal widespread sexual torture"". The Independent. Archived from the original on 8 December 2019. Retrieved 9 December 2019.",The Independent,2019,Media,UK,No known association
" 249 ^ Swerling, Gabriella (17 June 2019). ""British government 'ignored' Chinese organ harvesting, Tribunal rules"". Archived from the original on 11 January 2022 – via www.telegraph.co.uk.",The Telegraph,2019,Media,UK,No known association
" 280 ^ Withnall, Adam (5 July 2019). ""'Cultural genocide': China separating thousands of Muslim children from parents for 'thought education'"". The Independent. Archived from the original on 22 April 2020.",The Independent,2019,Media,UK,No known association
" 281 ^ Sudworth, John (4 July 2019). ""China Muslims: Xinjiang schools used to separate children from families"". BBC News. Retrieved 17 March 2021.",BBC,2019,Media,UK,No known association
" 388 ^ Sanchez, Raf (21 August 2019). ""Qatar retracts support for China's detention of Uighur Muslims"". The Daily Telegraph. ISSN 0307-1235. Archived from the original on 5 January 2020. Retrieved 8 December 2019.",The Daily Telegraph,2019,Media,UK,No known association
" 389 ^ Arab, The New. ""Qatar becomes first Muslim country to withdraw support over China's treatment of Uighur"". alaraby. Archived from the original on 13 December 2019. Retrieved 8 December 2019.",Al Araby,2019,Media,UK,No known association
" 74 ^ Karen, Leigh (9 October 2019). ""The Uighurs"". The Washington Post. Archived from the original on 4 February 2020. Retrieved 2 February 2020. “Tensions erupted in 2009... Attacks by Uighur separatists intensified in the years that followed, with one of the groups that carried them out—the Turkistan Islamic Party—also being credited with having thousands of jihadist fighters in Syria.”",The Washington Post,2019,Media,USA,No known association
" 88 ^ Kim, Jo (16 December 2019). ""Why China's Xinjiang Propaganda Fails"". The Diplomat.",The Diplomat,2019,Media,USA,No known association
"03 ^ Mac, Ryan. ""These New Facebook Ads From Chinese State Media Want You To Believe Xinjiang's Muslim Internment Camps Are Just Great"". Buzzfeed News.",Buzzfeed,2019,Media,USA,No known association
"04 ^ Fifeld, Anna (27 November 2019). ""TikTok's owner is helping China's campaign of repression in Xinjiang, report finds"". The Washington Post.",The Washington Post,2019,Media,USA,No known association
"06 ^ Gallagher, Ryan (19 August 2019). ""Twitter Helped Chinese Government Promote Disinformation on Repression of Uyghurs"". The Intercept.",The Intercept,2019,Media,USA,No known association
"14 ^ ""Beijing's Secrets of Xinjiang"". The Wall Street Journal. The Editorial Board. 18 November 2019. Archived from the original on 3 February 2020. Retrieved 3 February 2020.",The Wall Street Journal,2019,Media,USA,No known association
"15 ^ Sales, Nathan; Brownback, Sam (22 May 2019). ""China's attack on Uighurs isn't counterterrorism. It's ugly repression"". The Washington Post. Archived from the original on 20 November 2019. Retrieved 3 February 2020.",The Washington Post,2019,Media,USA,No known association
"33 ^ Ramzy, Austin (5 January 2019). ""China Targets Prominent Uighur Intellectuals to Erase an Ethnic Identity"". The New York Times. ISSN 0362-4331. Archived from the original on 13 December 2019. Retrieved 14 December 2019.",The New York Times,2019,Media,USA,No known association
"41 ^ Hiatt, Fred (3 November 2019). ""In China, every day is Kristallnacht"". The Washington Post. Archived from the original on 18 December 2020. Retrieved 10 August 2020. “Before After",The Washington Post,2019,Media,USA,No known association
"43 ^ Kashgarian, Asim (1 December 2019). ""US: China Targets Uighur Mosques to Eradicate Minority's Faith"". Voice of America. Archived from the original on 27 July 2020. Retrieved 11 August 2020. “37°7′2.13""N 79°56′2.96""E",Voice of America,2019,Media,USA,No known association
"48 ^ Lynch, Elizabeth M. (21 October 2019). ""China's attacks on Uighur women are crimes against humanity"". The Washington Post. Archived from the original on 2 December 2019.",The Washington Post,2019,Media,USA,No known association
"60 ^ Ramzy, Austin; Buckley, Chris (16 November 2019). ""'Absolutely No Mercy': Leaked Files Expose How China Organized Mass Detentions of Muslims"". The New York Times.",The New York Times,2019,Media,USA,No known association
"61 ^ ""Secret documents reveal how China mass detention camps work"". Los Angeles Times. Associated Press. 24 November 2019. Retrieved 22 March 2021.",Los Angeles Times,2019,Media,USA,No known association
"71 ^ Martin, Will. ""China is harvesting thousands of human organs from its Uighur Muslim minority, UN human-rights body hears"". Business Insider.",Business Insider,2019,Media,USA,No known association
"73 ^ Chin, Josh (21 May 2019). ""The German Data Diver Who Exposed China's Muslim Crackdown"". The Wall Street Journal. Archived from the original on 19 January 2020. Retrieved 14 January 2020.",The Wall Street Journal,2019,Media,USA,No known association
"79 ^ ""Inside Chinese camps thought to be detaining a million Muslims"". NBC News. Archived from the original on 9 December 2019. Retrieved 10 December 2019.",NBC,2019,Media,USA,No known association
"a b Samark, Former detainee Kayrat. ""Ex-Detainee Describes Torture In China's Xinjiang Re-Education Camp"". NPR. Archived from the original on 3 December 2019. Retrieved 8 December 2019.",NPR,2019,Media,USA,No known association
"a b Kirby, Jen. ""Concentration camps and forced labor: China's repression of the Uighurs, explained"". Vox. Retrieved 15 January 2021.",Vox,2019,Media,USA,No known association
"90 ^ Fifield, Anna (28 November 2019). ""TikTok's owner is helping China's campaign of repression in Xinjiang, report finds"". The Washington Post.",The Washington Post,2019,Media,USA,No known association
"91 ^ ""First she survived a Uighur internment camp. Then she made it out of China"". The Washington Post. Archived from the original on 5 December 2019. Retrieved 4 December 2019.",The Washington Post,2019,Media,USA,No known association
"93 ^ Board, The Editorial (18 November 2019). ""Opinion | This Is Not Dystopian Fiction. This Is China"". The New York Times. ISSN 0362-4331. Archived from the original on 4 December 2019. Retrieved 4 December 2019. {{cite news}}: |first= has generic name (help)",The New York Times,2019,Media,USA,No known association
"96 ^ Bain, Marc. ""Clothing made by Chinese forced labor is likely being sold in the US"". Quartz. Archived from the original on 4 December 2019. Retrieved 4 December 2019.",Quartz,2019,Media,USA,No known association
" 205 ^ ""Muslim woman describes horrors of Chinese concentration camp: Haaretz"". Business Insider.",Business Insider,2019,Media,USA,No known association
" 216 ^ ""She Escaped The Nightmare Of China's Brutal Internment Camps. Now She Could Be Sent Back"". BuzzFeed News.",Buzzfeed,2019,Media,USA,No known association
"a b c Westcott, Ben; Xiong, Yong. ""Xinjiang's Uyghurs didn't choose to be Muslim, new Chinese report says"". CNN. Archived from the original on 19 December 2019. Retrieved 2 December 2019.",CNN,2019,Media,USA,No known association
" 233 ^ ""'They Ordered Me To Get An Abortion': A Chinese Woman's Ordeal In Xinjiang"". NPR. Archived from the original on 3 December 2019. Retrieved 8 December 2019.",NPR,2019,Media,USA,No known association
" 242 ^ Smith, Saphora (18 June 2019). ""China forcefully harvests organs from detainees, tribunal concludes"". NBC News. Archived from the original on 3 August 2020. Retrieved 4 August 2020.",NBC,2019,Media,USA,No known association
"a b c d e f Wee, Sui-Lee; Mozur, Paul (3 December 2019). ""China Uses DNA to Map Faces, With Help From the West"". The New York Times. ISSN 0362-4331. Archived from the original on 5 December 2019. Retrieved 5 December 2019.",The New York Times,2019,Media,USA,No known association
"a b c Xu, Danielle Cave, Fergus Ryan, Vicky Xiuzhong (22 August 2019). ""Mapping more of China's tech giants: AI and surveillance"". aspi.org.au. Archived from the original on 6 December 2019. Retrieved 9 December 2019.",Vox,2019,Media,USA,No known association
" 271 ^ Mozur, Paul. ""One Month, 500,000 Face Scans: How China Is Using A.I. to Profile a Minority"". The New York Times. Archived from the original on 8 June 2019. Retrieved 1 December 2019.",The New York Times,2019,Media,USA,No known association
" 285 ^ Editorial Board (20 July 2019). ""Muslim countries joined China in defending its cultural genocide of Uighurs. Aren't they ashamed?"". Washington Post. Retrieved 17 March 2021. {{cite news}}: |author= has generic name (help)",The Washington Post,2019,Media,USA,No known association
" 324 ^ ""UN: Unprecedented Joint Call for China to End Xinjiang Abuses"". Human Rights Watch. 10 July 2019. Archived from the original on 17 December 2019. Retrieved 5 December 2019.",Human Rights Watch,2019,Media,USA,No known association
" 326 ^ Westcott, Ben; Roth, Richard. ""China's treatment of Uyghurs in Xinjiang divides UN members"". CNN. Archived from the original on 7 November 2019. Retrieved 30 October 2019.",CNN,2019,Media,USA,No known association
" 336 ^ von der Burchard, Hans (18 December 2019). ""European Parliament gives human rights award to Uighur activist"". Politico.",Politic,2019,Media,USA,No known association
" 338 ^ Petrequin, Samuel (24 October 2019). ""EU Awards Top Human Rights Prize to Uighur Activist Jailed in China"". Bloomberg News. Associated Press.",Bloomberg News,2019,Media,USA,No known association
"a b c Qiblawi, Tamara. ""Muslim nations are defending China's crackdown on Muslims. It shatters the myth of Islamic solidarity"". CNN. Archived from the original on 4 December 2019. Retrieved 4 December 2019.",CNN,2019,Media,USA,No known association
"a b ""Which Countries Are For or Against China's Xinjiang Policies?"". The Diplomat. Archived from the original on 11 October 2019. Retrieved 15 September 2020.",The Diplomat,2019,Media,USA,No known association
"a b c d e ""2020 Edition: Which Countries Are For or Against China's Xinjiang Policies?"". The Diplomat. 9 October 2020.",The Diplomat,2019,Media,USA,No known association
" 359 ^ Gramer, Colum Lynch, Robbie. ""Xinjiang Visit by U.N. Counterterrorism Official Provokes Outcry"". Foreign Policy. Archived from the original on 9 December 2019. Retrieved 9 December 2019.",Foreign Policy,2019,Media,USA,No known association
" 363 ^ Blanchard, Ben (23 March 2019). ""U.S. Official Denounces 'Choreographed' Visits to China's Xinjiang"". U.S. News & World Report. Archived from the original on 24 March 2019.",US News and World Report,2019,Media,USA,No known association
" 378 ^ ""Muslim Counties Join China in Cultural Genocide"". The Washington Post. 2019. Archived from the original on 24 November 2019.",The Washington Post,2019,Media,USA,No known association
" 380 ^ ""Iran careful on Uyghur Issue"". The Diplomat. Archived from the original on 12 February 2020.",The Diplomat,2019,Media,USA,No known association
" 381 ^ ""Turkey's Uighurs fear for future after China Deportation"". Financial Times. Archived from the original on 17 December 2019. Retrieved 17 December 2019.",The Financial Times,2019,Media,USA,No known association
" 387 ^ ""Qatar Withdraws Support for China Over Its Treatment of Muslims"". 21 August 2019. Archived from the original on 30 November 2019. Retrieved 8 December 2019.",Bloomberg News,2019,Media,USA,No known association
" 393 ^ ""Muslim nations are defending China as it cracks down on Muslims, shattering any myths of Islamic solidarity"". CNN. Archived from the original on 4 December 2019. Retrieved 4 December 2019.",CNN,2019,Media,USA,No known association
"a b Qin, Amy (10 February 2019). ""Turkey Urges China to End Mass Detention of Muslims"". The New York Times.",The New York Times,2019,Media,USA,No known association
" 401 ^ ""Turkey Cracks Down on Uighur Protesters After China Complains"". Voice of America.",Voice of America,2019,Media,USA,No known association
" 427 ^ Perlez, Jane (25 September 2019). ""China Wants the World to Stay Silent on Muslim Camps. It's Succeeding"". The New York Times. ISSN 0362-4331. Archived from the original on 8 December 2019. Retrieved 9 December 2019.",The New York Times,2019,Media,USA,No known association
" 478 ^ Karlik, Evan (8 August 2019). ""The Case for Boycotting Beijing 2022"". The Diplomat. Archived from the original on 3 May 2020. Retrieved 18 August 2020.",The Diplomat,2019,Media,USA,No known association
" 479 ^ Westcott, Ben (2 December 2019). ""Huge leaks are exposing Xinjiang's re-education camps. But don't expect Beijing to back down"". CNN. Archived from the original on 9 September 2020. Retrieved 18 August 2020.",CNN,2019,Media,USA,No known association
" 4 ^ ""UN: Unprecedented Joint Call for China to End Xinjiang Abuses"". Human Rights Watch. 10 July 2019. Archived from the original on 17 December 2019. Retrieved 18 December 2020.",Human Rights Watch,2019,NGO,USA,No known association
" 348 ^ ""STATEMENT BY THE SUBCOMMITTEE ON INTERNATIONAL HUMAN RIGHTS CONCERNING THE HUMAN RIGHTS SITUATION OF UYGHURS AND OTHER TURKIC MUSLIMS IN XINJIANG, CHINA"". Subcommittee on International Human Rights (SDIR) of the Canadian House of Commons Standing Committee on Foreign Affairs and International Development. 21 October 2020. Archived from the original on 24 October 2020. Retrieved 23 October 2020.",Canadian House of Commons,2020,Agency,Canada,No known association
"5 ^ ""Responsibility of States under International Law to Uyghurs and other Turkic Muslims in Xinjiang, China"" (PDF). Bar Human Rights Committee. Archived (PDF) from the original on 21 September 2020. Retrieved 18 December 2020.",Bar Human Rights Committee,2020,Agency,UK,No known association
" 272 ^ ""Commerce Department Adds Eleven Chinese Entities Implicated in Human Rights Abuses in Xinjiang to the Entity List"". U.S. Department of Commerce. Archived from the original on 21 July 2020. Retrieved 20 July 2020.",US Department of Commerce,2020,Agency,USA,No known association
" 24 ^ Finnegan, Ciara (2020). ""The Uyghur Minority in China: A Case Study of Cultural Genocide, Minority Rights and the Insufficiency of the International Legal Framework in Preventing State-Imposed Extinction"". Laws. 9: 1. doi:10.3390/laws9010001.",Laws,2020,Journal,Switzerland,No known association
"a b c d Finley, Joanne (2020). ""Why Scholars and Activists Increasingly Fear a Uyghur Genocide in Xinjiang"". Journal of Genocide Research. 23 (3): 348–370. doi:10.1080/14623528.2020.1848109. S2CID 236962241.",Journal of Genocide Research (Routledge),2020,Journal,UK,No known association
" 279 ^ Sun, Ivan Y.; Wu, Yuning; Triplett, Ruth; Hu, Rong (25 September 2020). ""Political Efficacy, Police Legitimacy, and Public Support for Counterterrorism Measures in China"". Terrorism and Political Violence. Informa UK Limited: 1–15. doi:10.1080/09546553.2020.1817741. ISSN 0954-6553. S2CID 224989251.",Informa,2020,Journal,UK,No known association
" 318 ^ Iacobucci, Gareth (3 March 2020). ""Chinese doctors admitted in undercover calls that harvested organs were available, informal tribunal finds"". The BMJ. 368: m859. doi:10.1136/bmj.m859. PMID 32127369. S2CID 212403405. Retrieved 12 April 2021.",BMJ,2020,Journal,UK,No known association
" 428 ^ President Ghulam Osman Yaghma (27 January 2020). ""Presidential Message on Holocaust Remembrance Day 2020, urging the international community to acknowledge China's Genocide in East Turkistan"". The Voice of East Turkistan. 1 (2): 3 – via Internet Archive.",The Voice of East Turkistan,2020,Journal,USA,No known association
" 27 ^ Piotrowicz, Ryszard (14 July 2020). ""Legal expert: forced birth control of Uighur women is genocide – can China be put on trial?"". The Conversation. Retrieved 5 September 2021.",The Conversation,2020,Media,Australia,No known association
"45 ^ Handley, Erin (17 January 2020). ""Safe and sound? China launches propaganda blitz to discredit Uyghur #StillNoInfo campaign"". Australian Broadcasting Corporation. Archived from the original on 27 January 2020. Retrieved 19 May 2020.",ABC,2020,Media,Australia,No known association
" 246 ^ ""China's sick tactics used against pregnant women"". Queensland Times.",Queensland Times,2020,Media,Australia,No known association
" 224 ^ ""China forces birth control on Uyghurs, other minorities to suppress population"". The Globe and Mail. Archived from the original on 26 October 2020. Retrieved 26 September 2020.",The Globe and Mail,2020,Media,Canada,No known association
" 256 ^ ""China accused of forcing 570,000 people to pick cotton in Xinjiang"". Reuters.",Reuters,2020,Media,Canada,No known association
" 320 ^ ""Don't turn away from China's ongoing genocide of Uighurs"". Toronto Star. 9 December 2020.",Toronto Star,2020,Media,Canada,No known association
" 331 ^ Reuters Staff (14 September 2020). ""U.N. rights chief discussing visit to Xinjiang with China"". Reuters.",Reuters,2020,Media,Canada,No known association
"a b David Brunnstrom (11 March 2020). ""U.S. lawmakers seek to tighten ban on forced-labor goods from China's Xinjiang"". Reuters. Archived from the original on 4 September 2020. Retrieved 7 September 2020.",Reuters,2020,Media,Canada,No known association
" 368 ^ ""U.S. to block some imports from China's Xinjiang, still studying broad cotton, tomato bans-DHS"". Reuters. 14 September 2020. Archived from the original on 29 September 2020. Retrieved 19 September 2020.",Reuters,2020,Media,Canada,No known association
" 382 ^ ""Saudia Arabia supports Xinjiang Policy"". Reuters. Archived from the original on 4 February 2020.",Reuters,2020,Media,Canada,No known association
" 395 ^ ""Malaysia won't extradite Uighurs to China, minister says"". Reuters. 4 September 2020.",Reuters,2020,Media,Canada,No known association
" 452 ^ Lawder, David (17 September 2020). ""US ban on China's Xinjiang cotton 'would wreak havoc', leading apparel group says"". Reuters. Archived from the original on 22 September 2020. Retrieved 29 September 2020.",Reuters,2020,Media,Canada,No known association
" 474 ^ Shannon, Redmond. ""Lessons of history motivate Jewish man to protest in solidarity with Uighur Muslims"". globalnews.ca. Global News. Retrieved 21 March 2021.",Global News,2020,Media,Canada,No known association
" 480 ^ Montgomery, Marc (10 June 2020). ""Boycott the 2022 China Winter Olympics?"". Radio Canada International. Archived from the original on 18 August 2020. Retrieved 18 August 2020.",Radio Canada International,2020,Media,Canada,No known association
" 482 ^ Nebehay, Stephanie (14 August 2020). ""Uighur group urges IOC to reconsider 2022 Beijing Winter Games venue"". Reuters. Archived from the original on 23 February 2021. Retrieved 18 August 2020.",Reuters,2020,Media,Canada,No known association
" 269 ^ ""大疆创新与新疆自治区公安厅结为警用无人机战略合作伙伴"". YouUAV.com. Archived from the original on 18 December 2020. Retrieved 18 November 2020.",YouUAV,2020,Media,China (Mainland),No known association
" 248 ^ Everington, Keoni (22 January 2020). ""Saudis allegedly buy 'Halal organs' from 'slaughtered' Xinjiang Muslims"". Taiwan News. Retrieved 14 March 2021.",Taiwan News,2020,Media,China (Taiwan),No known association
"35 ^ ""'No space to mourn': the destruction of Uygur graveyards in Xinjiang"". South China Morning Post. Agence France-Presse. Archived from the original on 3 February 2020. Retrieved 3 February 2020.",AFP,2020,Media,France,No known association
"a b ""Even in death, Uighurs feel long reach of Chinese state"". France 24. 9 October 2019. Archived from the original on 9 October 2019. Retrieved 26 April 2020. “In just two years, dozens of cemeteries have been destroyed in the northwest region, according to an AFP investigation with satellite imagery analysts Earthrise Alliance.",AFP,2020,Media,France,No known association
" 255 ^ ""'A huge game-changer': Report says more than 570,000 Uighurs forced to pick cotton"". France 24. 15 December 2020.",France 24,2020,Media,France,No known association
" 300 ^ ""In parting shot, Trump administration accuses China of 'genocide' against Uighurs"". France 24. Retrieved 20 January 2021.",France 24,2020,Media,France,No known association
"9 ^ ""China: Uighur women reportedly sterilized in attempt to suppress population"". Deutsche Welle. 1 July 2020. Retrieved 14 March 2021.",DW,2020,Media,Germany,No known association
" 483 ^ ""Uighur group calls for China to lose 2022 Winter Olympics over 'genocide'"". WION. Archived from the original on 9 August 2020. Retrieved 18 August 2020.",WION,2020,Media,India,No known association
"a b c Stravrou, David (3 December 2020). ""China's 'XXX Files': '25 Thousand People Disappear Each Year, Their Organs Are Harvested'"". Haaretz. Retrieved 14 March 2021.",Haaretz,2020,Media,Israel,No known association
" 457 ^ ""Board President urges China to 'immediately' free Uyghur Muslims from camps"". Jewish News. The Times of Israel. 22 July 2020.",The Times of Israel,2020,Media,Israel,No known association
" 481 ^ Bandler, Kenneth (17 August 2020). ""The Uyghers' plight is a humanitarian crisis. More must be done to help"". The Jerusalem Post. Retrieved 17 August 2020. “""It is a genocide,"" says Turkel, adding that the ""purposeful prevention of population growth"" is one of the legal definitions of genocide. ""In the last year, Uyghur population growth dropped by 24%, and in the previous three years by 84%.""{...}If there is no significant change in Chinese government policy regarding the Uyghurs, Turkel would like to see the US boycott the Winter Olympics in Beijing in 2022.”",The Jerusalem Post,2020,Media,Israel,No known association
" 426 ^ Waters, Laura (29 October 2019). ""NZ looks for ways to raise concerns over Xinjiang"". newsroom. Archived from the original on 18 December 2020. Retrieved 26 November 2020.",Newsroom,2020,Media,New Zealand,No known association
"a b c ""China committing genocide against Uighurs, says report"". Al Jazeera.",Al Jazeera,2020,Media,Qatar,No known association
" 223 ^ ""Pompeo calls report of forced sterilisation of Uighurs 'shocking'"". Al Jazeera. Archived from the original on 29 July 2020. Retrieved 11 August 2020.",Al Jazeera,2020,Media,Qatar,No known association
